,Q-FW1-MON,Q-FW1-TUE,Q-FW1-WED,Q-FW1-THU,Q-FW1-FRI,Q-FW1-SAT,Q-FW1-SUN,Q-FW2-MON,Q-FW2-TUE,Q-FW2-WED,Q-FW2-THU,Q-FW2-FRI,Q-FW2-SAT,Q-FW2-SUN,Q-FW3-MON,Q-FW3-TUE,Q-FW3-WED,Q-FW3-THU,Q-FW3-FRI,Q-FW3-SAT,Q-FW3-SUN
21:00:00,2879.488,2829.833,2771.5,2882.539,2799.09,2640.185,2818.489,2843.156,2883.787,3201.712,3304.305,3035.502,3048.968,3043.616,3161.784,3226.17,3509.598,3201.375,3175.673,3143.058,3106.918
21:15:00,2903.467,2797.211,2765.785,2976.117,2781.023,2671.423,2858.428,2912.715,2859.6,3175.076,3180.474,3035.248,3072.718,3123.604,3103.431,3223.782,3503.873,3205.57,3196.463,3177.894,3109.715
21:30:00,2791.567,2809.181,2712.92,2938.877,2752.981,2707.782,2890.766,2852.13,2898.616,3053.021,3178.992,3055.67,3008.333,3080.766,3089.312,3083.375,3510.843,3265.328,3104.244,3119.013,3046.932
21:45:00,2747.835,2865.257,2783.261,2938.922,2731.741,2705.694,2948.428,2837.781,2907.052,3003.393,3181.33,3083.746,3050.24,3102.274,3028.85,3125.054,3502.99,3164.021,3115.085,3021.985,3018.782
22:00:00,2701.572,2750.087,2698.916,2954.746,2685.288,2672.942,2882.825,2838.16,2864.879,2943.199,3199.496,2883.14,2798.465,3050.982,3030.487,3103.191,3390.636,3136.006,3108.964,3082.536,3026.923
22:15:00,2606.867,2737.722,2621.608,3007.482,2681.893,2682.987,2836.499,2814.609,2899.023,2888.255,3147.366,2930.596,2989.482,3220.4,3028.326,3147.707,3275.357,3101.264,3051.662,3057.827,3042.882
22:30:00,2601.235,2710.468,2596.51,2835.366,2632.693,2736.049,2827.526,2817.761,2831.231,2850.037,3112.152,2846.607,2882.533,3145.924,3029.067,3056.333,3263.867,2912.438,3111.873,2851.112,2931.99
22:45:00,2656.452,2733.742,2641.613,2888.369,2634.92,2640.662,2771.522,2773.232,2881.47,2940.719,3079.406,2815.561,2863.36,3067.021,2891.462,2975.547,3173.398,2891.146,2999.913,2769.052,2959.299
23:00:00,2648.232,2674.769,2651.329,2888.398,2613.932,2712.699,2802.276,2866.643,3011.815,2682.359,3022.287,2864.353,2899.317,3002.263,2914.327,2927.3,3281.533,2893.921,2896.668,2840.544,2957.341
23:15:00,2643.717,2711.518,2621.135,2946.312,2609.106,2618.545,2735.021,2837.796,2906.843,2649.486,2914.416,2834.504,2879.071,2907.522,2881.347,3008.308,3227.463,2880.243,2845.819,2842.754,2813.208
23:30:00,2622.045,2668.622,2607.726,2784.375,2660.106,2690.036,2755.129,2812.374,2918.021,2688.776,3028.679,2844.357,2851.47,2950.379,2903.83,2879.043,3157.279,2785.664,2872.526,2863.714,2800.84
23:45:00,2520.23,2571.534,2579.091,2797.293,2606.565,2707.114,2823.338,2812.002,2931.993,2619.774,2919.906,2809.196,2717.528,2928.346,2872.658,2904.422,3540.754,2797.661,2840.846,2762.563,2729.156
